Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12
1 3 5 7 9,0.0565796,12.3903,Yes,N/A,N/A,3,1 3,5,1 5,7,3 5,9,3 7,1 3 7,3 9
3 5 7,0.0740741,9.92901,Yes,N/A,N/A,3,N/A,5,N/A,7,3 5,N/A,3 7,N/A,5 7
1 3 5 7 8,0.0711639,10.9931,Yes,N/A,N/A,3,1 3,5,1 5,7,8,1 8,3 7,3 8,5 7
1 3 5 7 8 9,0.0361173,16.7517,Yes,N/A,N/A,3,1 3,5,1 5,7,8,9,3 7,3 8,3 9
3 5 9,0.0411523,13.1989,Yes,N/A,N/A,3,N/A,5,N/A,N/A,3 5,9,N/A,N/A,3 9
3 5 8 9,0.0154035,19.5878,Yes,N/A,N/A,3,N/A,5,N/A,N/A,8,9,N/A,3 8,3 9
1 3 5 6,0.13756,5.71909,Yes,N/A,N/A,3,1 3,5,6,1 6,3 5,3 6,1 3 6,5 6,1 5 6
3 5 6,0.0745885,8.92353,Yes,N/A,N/A,3,N/A,5,6,N/A,3 5,3 6,N/A,5 6,N/A
1 3 5 6 9,0.0609877,11.6427,Yes,N/A,N/A,3,1 3,5,6,1 6,3 5,9,1 9,5 6,3 9
1 3 5 6 8,0.0697124,10.6381,Yes,N/A,N/A,3,1 3,5,6,1 6,8,3 6,1 3 6,3 8,1 3 8
3 5 6 8,0.0311285,15.5346,Yes,N/A,N/A,3,N/A,5,6,N/A,8,3 6,N/A,3 8,N/A
1 3 5 6 8 9,0.0371617,16.1353,Yes,N/A,N/A,3,1 3,5,6,1 6,8,9,1 9,3 8,3 9
1 3 5 6 7,0.0986273,8.68471,Yes,N/A,N/A,3,1 3,5,6,7,3 5,3 6,3 7,5 6,5 7
1 3 5 6 7 9,0.0505186,14.0622,Yes,N/A,N/A,3,1 3,5,6,7,3 5,9,3 7,5 6,3 9
1 3 5 6 7 8,0.0623838,12.704,Yes,N/A,N/A,3,1 3,5,6,7,8,3 6,3 7,3 8,5 7
1 3 5 6 7 8 9,0.0362102,17.6953,Yes,N/A,N/A,3,1 3,5,6,7,8,9,3 7,3 8,3 9
3 6 8 9,0.0163609,20.104,Yes,N/A,N/A,3,N/A,N/A,6,N/A,8,9,N/A,3 8,3 9
3 6 7,0.0679012,11.0144,Yes,N/A,N/A,3,N/A,N/A,6,7,N/A,3 6,3 7,N/A,N/A
3 6 7 9,0.0211763,18.5786,Yes,N/A,N/A,3,N/A,N/A,6,7,N/A,9,3 7,N/A,3 9
3 6 7 8,0.0370799,15.3157,Yes,N/A,N/A,3,N/A,N/A,6,7,8,3 6,3 7,3 8,N/A
3 6 7 8 9,0.0156702,22.0383,Yes,N/A,N/A,3,N/A,N/A,6,7,8,9,3 7,3 8,3 9
1 3 4,0.1875,4.52778,Yes,N/A,N/A,3,4,1 4,N/A,3 4,1 3 4,N/A,N/A,N/A,N/A
3 4,0.175926,5.30093,Yes,N/A,N/A,3,4,N/A,N/A,3 4,N/A,N/A,N/A,N/A,N/A
1 3 4 9,0.0810185,9.90801,Yes,N/A,N/A,3,4,1 4,N/A,3 4,1 3 4,9,1 9,N/A,3 9
1 3 4 8,0.0948431,8.87856,Yes,N/A,N/A,3,4,1 4,N/A,3 4,8,1 8,N/A,3 8,4 8
3 4 8,0.0625,10.5625,Yes,N/A,N/A,3,4,N/A,N/A,3 4,8,N/A,N/A,3 8,4 8
1 3 4 8 9,0.0447174,14.6274,Yes,N/A,N/A,3,4,1 4,N/A,3 4,8,9,1 9,3 8,3 9
3 4 9,0.0447531,12.4234,Yes,N/A,N/A,3,4,N/A,N/A,3 4,N/A,9,N/A,N/A,3 9
1 3 4 7,0.0994084,8.07652,Yes,N/A,N/A,3,4,1 4,N/A,7,1 7,N/A,3 7,4 7,1 4 7
1 3 4 7 9,0.0494899,13.3342,Yes,N/A,N/A,3,4,1 4,N/A,7,1 7,9,3 7,4 7,3 9
3 4 7,0.0524691,10.2546,Yes,N/A,N/A,3,4,N/A,N/A,7,N/A,N/A,3 7,4 7,N/A
1 3 4 7 8,0.0637503,12.0156,Yes,N/A,N/A,3,4,1 4,N/A,7,8,1 8,3 7,3 8,4 8
