Position,Win Probability,Average Score,1,2,3,4,5,6,7,8,9,10,11,12
|   |   | 3 |   |   | 6 |   |   |   |,0.126543,6.93056,N/A,N/A,3,N/A,N/A,6,N/A,N/A,3 6,N/A,N/A,N/A
| 1 |   | 3 |   |   | 6 |   |   | 9 |,0.0497257,12.4961,N/A,N/A,3,1 3,N/A,6,1 6,N/A,9,1 9,N/A,3 9
| 1 |   | 3 |   |   | 6 |   | 8 |   |,0.0904492,9.18343,N/A,N/A,3,1 3,N/A,6,1 6,8,1 8,1 3 6,3 8,1 3 8
|   |   | 3 |   |   | 6 |   | 8 |   |,0.0527263,12.4234,N/A,N/A,3,N/A,N/A,6,N/A,8,3 6,N/A,3 8,N/A
| 1 |   | 3 |   |   | 6 |   | 8 | 9 |,0.0389922,15.7666,N/A,N/A,3,1 3,N/A,6,1 6,8,9,1 9,3 8,3 9
|   |   | 3 |   |   | 6 |   |   | 9 |,0.0252058,15.0802,N/A,N/A,3,N/A,N/A,6,N/A,N/A,9,N/A,N/A,3 9
| 1 |   | 3 |   |   | 6 | 7 |   |   |,0.108025,8.37174,N/A,N/A,3,1 3,N/A,6,7,1 7,3 6,3 7,1 3 7,N/A
|   |   | 3 |   |   | 6 | 7 |   |   |,0.0679012,11.0144,N/A,N/A,3,N/A,N/A,6,7,N/A,3 6,3 7,N/A,N/A
| 1 |   | 3 |   |   | 6 | 7 |   | 9 |,0.0434885,14.7416,N/A,N/A,3,1 3,N/A,6,7,1 7,9,1 9,1 3 7,3 9
| 1 |   | 3 |   |   | 6 | 7 | 8 |   |,0.0637789,12.9057,N/A,N/A,3,1 3,N/A,6,7,8,1 8,3 7,3 8,1 3 8
|   |   | 3 |   |   | 6 | 7 | 8 |   |,0.0370799,15.3157,N/A,N/A,3,N/A,N/A,6,7,8,3 6,3 7,3 8,N/A
| 1 |   | 3 |   |   | 6 | 7 | 8 | 9 |,0.0321772,19.1127,N/A,N/A,3,1 3,N/A,6,7,8,9,1 9,3 8,3 9
|   |   | 3 |   |   |   | 7 |   | 9 |,0.0339506,14.7341,N/A,N/A,3,N/A,N/A,N/A,7,N/A,9,3 7,N/A,3 9
|   |   | 3 |   |   |   | 7 | 8 | 9 |,0.0211763,19.3549,N/A,N/A,3,N/A,N/A,N/A,7,8,9,3 7,3 8,3 9
| 1 |   | 3 |   | 5 |   |   |   |   |,0.170267,4.77263,N/A,N/A,3,1 3,5,1 5,N/A,3 5,1 3 5,N/A,N/A,N/A
|   |   | 3 |   | 5 |   |   |   |   |,0.151235,6.11728,N/A,N/A,3,N/A,5,N/A,N/A,3 5,N/A,N/A,N/A,N/A
| 1 |   | 3 |   | 5 |   |   |   | 9 |,0.0644719,11.013,N/A,N/A,3,1 3,5,1 5,N/A,3 5,9,1 9,N/A,3 9
| 1 |   | 3 |   | 5 |   |   | 8 |   |,0.0768604,10.0759,N/A,N/A,3,1 3,5,1 5,N/A,8,1 8,N/A,3 8,1 3 8
|   |   | 3 |   | 5 |   |   | 8 |   |,0.0367798,12.9402,N/A,N/A,3,N/A,5,N/A,N/A,8,N/A,N/A,3 8,N/A
| 1 |   | 3 |   | 5 |   |   | 8 | 9 |,0.0349532,16.0778,N/A,N/A,3,1 3,5,1 5,N/A,8,9,1 9,3 8,3 9
|   |   | 3 |   | 5 |   |   |   | 9 |,0.0411523,13.1989,N/A,N/A,3,N/A,5,N/A,N/A,3 5,9,N/A,N/A,3 9
| 1 |   | 3 |   | 5 |   | 7 |   |   |,0.127058,6.52323,N/A,N/A,3,1 3,5,1 5,7,1 7,1 3 5,3 7,1 3 7,5 7
|   |   | 3 |   | 5 |   | 7 |   |   |,0.0740741,9.92901,N/A,N/A,3,N/A,5,N/A,7,3 5,N/A,3 7,N/A,5 7
| 1 |   | 3 |   | 5 |   | 7 |   | 9 |,0.0547697,12.4389,N/A,N/A,3,1 3,5,1 5,7,1 7,9,1 9,1 3 7,3 9
| 1 |   | 3 |   | 5 |   | 7 | 8 |   |,0.0705804,11.0454,N/A,N/A,3,1 3,5,1 5,7,8,1 8,3 7,3 8,1 3 8
|   |   | 3 |   | 5 |   | 7 | 8 |   |,0.0313357,15.905,N/A,N/A,3,N/A,5,N/A,7,8,N/A,3 7,3 8,5 7
| 1 |   | 3 |   | 5 |   | 7 | 8 | 9 |,0.0362928,16.6767,N/A,N/A,3,1 3,5,1 5,7,8,9,1 9,3 8,3 9
|   |   | 3 |   | 5 |   |   | 8 | 9 |,0.0154035,19.5878,N/A,N/A,3,N/A,5,N/A,N/A,8,9,N/A,3 8,3 9
| 1 |   | 3 |   | 5 | 6 |   |   |   |,0.13756,5.71909,N/A,N/A,3,1 3,5,6,1 6,3 5,3 6,1 3 6,5 6,1 5 6
