Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12
1 5 7,0.087963,8.26543,No,N/A,N/A,N/A,N/A,5,1 5,7,1 7,N/A,N/A,N/A,5 7
2 5,0.17284,5.20062,No,N/A,2,N/A,N/A,5,N/A,2 5,N/A,N/A,N/A,N/A,N/A
1 5 6 7,0.0509259,12.8121,No,N/A,N/A,N/A,N/A,5,1 5,1 6,1 7,N/A,N/A,5 6,1 5 6
1 4 7,0.101852,7.36111,No,N/A,N/A,N/A,4,1 4,N/A,7,1 7,N/A,N/A,4 7,1 4 7
1 4 6,0.131944,6.21065,No,N/A,N/A,N/A,4,1 4,6,1 6,N/A,N/A,4 6,1 4 6,N/A
1 4 6 8,0.0821116,9.5188,No,N/A,N/A,N/A,4,1 4,6,1 6,8,1 8,4 6,1 4 6,4 8
1 5 6 8,0.0540338,12.2802,No,N/A,N/A,N/A,N/A,5,1 5,1 6,8,1 8,N/A,5 6,1 5 6
1 4 6 7 8,0.0373657,14.8986,No,N/A,N/A,N/A,4,1 4,6,1 6,1 7,1 8,4 6,1 4 6,1 4 7
1 4 5 7,0.111497,7.90599,No,N/A,N/A,N/A,4,1 4,1 5,7,1 7,4 5,1 4 5,4 7,1 4 7
1 2 3 5 6,0.122133,6.79154,No,N/A,2,1 2,1 3,2 3,1 2 3,2 5,1 2 5,1 3 5,2 3 5,1 2 3 5,1 2 3 6
1 3 7 8,0.064429,11.5667,No,N/A,N/A,3,1 3,N/A,N/A,7,1 7,1 8,3 7,1 3 7,1 3 8
1 2 4 5 6 7 8,0.0270644,17.1114,No,N/A,2,1 2,4,1 4,2 4,1 2 4,1 2 5,4 5,1 4 5,2 4 5,1 2 4 5
1 2 5 6 7,0.0687109,10.7359,No,N/A,2,1 2,N/A,5,1 5,2 5,1 2 5,1 2 6,1 2 7,5 6,1 5 6
1 3 6 8,0.0913066,9.17623,No,N/A,N/A,3,1 3,N/A,6,1 6,8,3 6,1 3 6,3 8,1 3 8
1 3 4 7,0.0914352,8.54681,No,N/A,N/A,3,1 3,1 4,N/A,3 4,1 3 4,N/A,3 7,1 3 7,1 4 7
1 2 5 8,0.106682,7.86751,No,N/A,2,1 2,N/A,5,1 5,2 5,1 2 5,1 8,2 8,1 2 8,N/A
1 4 5 6,0.0951432,8.8068,No,N/A,N/A,N/A,4,1 4,1 5,1 6,N/A,4 5,1 4 5,1 4 6,1 5 6
2 3 4 5 7,0.0717831,9.668,No,N/A,2,3,4,2 3,2 4,3 4,3 5,2 3 4,2 3 5,2 4 5,3 4 5
1 3 5 8,0.0704875,10.4524,No,N/A,N/A,3,1 3,5,1 5,N/A,3 5,1 3 5,N/A,3 8,1 3 8
1 6 7,0.070216,10.2585,No,N/A,N/A,N/A,N/A,N/A,6,1 6,1 7,N/A,N/A,N/A,N/A
1 4 5 8,0.066358,11.2841,No,N/A,N/A,N/A,4,1 4,1 5,N/A,8,4 5,1 4 5,N/A,4 8
1 5 8,0.0684156,9.85134,No,N/A,N/A,N/A,N/A,5,1 5,N/A,8,1 8,N/A,N/A,N/A
1 3 5 7 8,0.0529073,12.3388,No,N/A,N/A,3,1 3,5,1 5,7,3 5,1 3 5,3 7,1 3 7,5 7
1 2 6 7,0.095829,9.07632,No,N/A,2,1 2,N/A,N/A,6,1 6,2 6,1 2 6,1 2 7,N/A,N/A
1 5 7 8,0.0397377,13.937,No,N/A,N/A,N/A,N/A,5,1 5,7,1 7,1 8,N/A,N/A,5 7
1 2 4 5,0.143904,3.87654,No,N/A,2,1 2,4,1 4,2 4,1 2 4,1 2 5,4 5,1 4 5,2 4 5,1 2 4 5
1 3 4 8,0.0858196,9.37376,No,N/A,N/A,3,1 3,1 4,N/A,3 4,1 3 4,1 8,N/A,3 8,1 3 8
1 3 4 6 8,0.062581,10.8554,No,N/A,N/A,3,1 3,1 4,6,3 4,1 3 4,3 6,1 3 6,1 4 6,1 3 8
1 3 4 6,0.131044,5.64607,No,N/A,N/A,3,1 3,1 4,6,3 4,1 3 4,3 6,1 3 6,1 4 6,N/A
1 4 5 6 8,0.049578,12.9607,No,N/A,N/A,N/A,4,1 4,1 5,1 6,8,4 5,1 4 5,1 4 6,1 5 6
1 3 5 6 7,0.06858,10.6097,No,N/A,N/A,3,1 3,5,1 5,1 6,3 5,1 3 5,1 3 6,5 6,1 5 6
1 4 5 6 7,0.0538194,12.2237,No,N/A,N/A,N/A,4,1 4,1 5,1 6,1 7,4 5,1 4 5,1 4 6,1 5 6
1 3 4 6 7,0.0748671,9.93558,No,N/A,N/A,3,1 3,1 4,6,3 4,1 3 4,3 6,1 3 6,1 4 6,1 4 7
1 3 5 6,0.129287,6.08702,No,N/A,N/A,3,1 3,5,1 5,1 6,3 5,1 3 5,1 3 6,5 6,1 5 6
1 3 7,0.115741,6.43056,No,N/A,N/A,3,1 3,N/A,N/A,7,1 7,N/A,3 7,1 3 7,N/A
1 3 4 6 7 8,0.0341219,15.4418,No,N/A,N/A,3,1 3,1 4,6,3 4,1 3 4,3 6,1 3 6,1 4 6,1 4 7
2 4 5 6,0.106453,7.8054,No,N/A,2,N/A,4,5,2 4,2 5,2 6,4 5,4 6,2 4 5,2 4 6
1 3 4 5 8,0.0587015,10.7966,No,N/A,N/A,3,1 3,1 4,1 5,3 4,1 3 4,1 3 5,1 4 5,3 8,3 4 5
1 3 4 5 7,0.0800111,9.34849,No,N/A,N/A,3,1 3,1 4,1 5,3 4,1 3 4,1 3 5,1 4 5,1 3 7,3 4 5
