Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12
1 6 8 11,0.0171468,19.1872,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,N/A,11,1 11
1 6 8 11 12,0.00172659,30.8521,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,N/A,11,12
6 8 12,0.00321502,23.2777,Yes,N/A,N/A,N/A,N/A,N/A,6,N/A,8,N/A,N/A,N/A,12
1 6 8 10,0.0273277,17.2192,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,10,1 10,N/A
1 6 8 10 12,0.00303641,28.2784,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,10,1 10,12
6 8 10,0.00964506,20.4815,Yes,N/A,N/A,N/A,N/A,N/A,6,N/A,8,N/A,10,N/A,N/A
1 6 8 10 11,0.00643004,26.8474,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,10,11,1 11
1 6 8 10 11 12,0.000818639,38.4073,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,10,11,12
6 8 11,0.00643004,21.843,Yes,N/A,N/A,N/A,N/A,N/A,6,N/A,8,N/A,N/A,11,N/A
6 8 11 12,0.000714449,33.2674,Yes,N/A,N/A,N/A,N/A,N/A,6,N/A,8,N/A,N/A,11,12
1 6 8 9,0.0323645,16.801,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,9,1 9,N/A,N/A
1 6 8 9 12,0.00359606,27.8896,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,9,1 9,N/A,12
6 8 9,0.0128601,19.1931,Yes,N/A,N/A,N/A,N/A,N/A,6,N/A,8,9,N/A,N/A,N/A
1 6 8 9 11,0.00862102,25.4497,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,9,1 9,11,1 11
1 6 8 9 11 12,0.00109813,36.9937,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,9,1 9,11,12
6 8 9 12,0.0014289,30.5599,Yes,N/A,N/A,N/A,N/A,N/A,6,N/A,8,9,N/A,N/A,12
1 6 8 9 10,0.0120385,24.6395,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,9,10,1 10,N/A
1 6 8 9 10 12,0.00167201,35.5248,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,9,10,1 10,12
6 8 9 10,0.00428669,27.544,Yes,N/A,N/A,N/A,N/A,N/A,6,N/A,8,9,10,N/A,N/A
1 6 8 9 10 11,0.00354248,34.0336,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,9,10,11,1 11
1 6 8 9 10 11 12,0.000540798,45.5572,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,9,10,11,12
6 9 11,0.00514403,23.0249,Yes,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,9,N/A,11,N/A
6 9 11 12,0.000571559,34.4698,Yes,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,9,N/A,11,12
6 9 10 12,0.000857339,33.0929,Yes,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,9,10,N/A,12
6 9 10 11,0.00171468,31.5879,Yes,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,9,10,11,N/A
