Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1 3 4 5 6 9 11 12 13,0.00404459,39.6544,No,N/A,N/A,3,1 3,1 4,1 5,3 4,1 3 4,1 3 5,1 4 5,1 4 6,3 4 5,1 3 4 5,1 3 4 6,1 3 5 6,1 4 5 6,1 3 4 9,3 4 5 6
1 2 3 4 6 9 10 12,0.0163974,26.268,No,N/A,2,1 2,1 3,2 3,1 2 3,1 2 4,1 3 4,2 3 4,1 2 3 4,2 3 6,1 2 3 6,1 2 4 6,1 3 4 6,2 3 4 6,1 2 3 4 6,1 3 4 9,2 3 4 9
2 3 6 8 9 11 13,0.00763017,33.1098,No,N/A,2,3,N/A,2 3,6,N/A,2 6,3 6,2 8,2 3 6,3 9,2 3 8,6 8,6 9,2 6 8,3 6 8,3 6 9
1 2 3 4 5 6 7 9 13,0.010646,27.3118,No,N/A,2,1 2,1 3,2 3,1 2 3,1 2 4,1 3 4,2 3 4,1 2 3 4,1 2 3 5,1 2 4 5,1 3 4 5,2 3 4 5,1 2 3 4 5,1 2 3 4 6,1 2 3 5 6,1 2 4 5 6
1 2 3 4 7,0.0824216,5.73765,No,N/A,2,1 2,1 3,2 3,1 2 3,1 2 4,1 3 4,2 3 4,1 2 3 4,1 3 7,2 3 7,1 2 3 7,1 2 4 7,1 3 4 7,2 3 4 7,1 2 3 4 7,N/A
1 2 3 4 5 6 7 8 11 13,0.00600347,33.8011,No,N/A,2,1 2,1 3,2 3,1 2 3,1 2 4,1 3 4,2 3 4,1 2 3 4,1 2 3 5,1 2 4 5,1 3 4 5,2 3 4 5,1 2 3 4 5,1 2 3 4 6,1 2 3 5 6,1 2 4 5 6
1 5 7 8 10 11 12 13,0.00274557,43.2944,No,N/A,N/A,N/A,N/A,5,1 5,7,1 7,1 8,10,1 10,5 7,1 5 7,1 5 8,7 8,1 7 8,7 10,1 7 10
1 3 4 5 6 8 10 11,0.0160575,25.8706,No,N/A,N/A,3,1 3,1 4,1 5,3 4,1 3 4,1 3 5,1 4 5,1 4 6,3 4 5,1 3 4 5,1 3 4 6,1 3 5 6,1 4 5 6,1 3 5 8,3 4 5 6
1 2 5 6 7 8 9 10 13,0.00592786,35.38,No,N/A,2,1 2,N/A,5,1 5,2 5,1 2 5,1 2 6,1 2 7,5 6,1 5 6,2 5 6,1 2 5 6,1 2 5 7,1 2 6 7,1 2 6 8,5 6 7
1 2 3 4 6 9 10 11,0.0185169,24.9458,No,N/A,2,1 2,1 3,2 3,1 2 3,1 2 4,1 3 4,2 3 4,1 2 3 4,2 3 6,1 2 3 6,1 2 4 6,1 3 4 6,2 3 4 6,1 2 3 4 6,1 3 4 9,2 3 4 9
2 4 6 7 8 11 12 13,0.00382752,40.214,No,N/A,2,N/A,4,N/A,2 4,7,2 6,2 7,4 6,4 7,2 4 6,2 4 7,2 4 8,2 6 7,2 6 8,4 6 7,4 6 8
1 2 3 4 5 6 9 13,0.0162943,23.7496,No,N/A,2,1 2,1 3,2 3,1 2 3,1 2 4,1 3 4,2 3 4,1 2 3 4,1 2 3 5,1 2 4 5,1 3 4 5,2 3 4 5,1 2 3 4 5,1 2 3 4 6,1 2 3 5 6,1 2 4 5 6
1 2 3 4 7 9 10 12,0.0159916,26.653,No,N/A,2,1 2,1 3,2 3,1 2 3,1 2 4,1 3 4,2 3 4,1 2 3 4,1 3 7,2 3 7,1 2 3 7,1 2 4 7,1 3 4 7,2 3 4 7,1 2 3 4 7,2 3 4 9
1 4 5 6 10 11 13,0.00916743,32.1241,No,N/A,N/A,N/A,4,1 4,1 5,1 6,N/A,4 5,1 4 5,1 4 6,1 5 6,13,4 10,4 5 6,1 4 5 6,1 6 10,1 6 11
1 2 3 5 10 11 13,0.013982,26.6177,No,N/A,2,1 2,1 3,2 3,1 2 3,2 5,1 2 5,1 3 5,2 3 5,1 2 3 5,2 10,1 2 10,1 3 10,2 3 10,1 2 3 10,2 5 10,1 2 5 10
1 2 3 4 5 6 7 10 11,0.0177179,24.9462,No,N/A,2,1 2,1 3,2 3,1 2 3,1 2 4,1 3 4,2 3 4,1 2 3 4,1 2 3 5,1 2 4 5,1 3 4 5,2 3 4 5,1 2 3 4 5,1 2 3 4 6,1 2 3 5 6,1 2 4 5 6
1 7 8 10 13,0.0162584,26.0221,No,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,1 8,10,1 10,N/A,13,1 13,7 8,1 7 8,7 10,1 7 10
3 7 9 11 12 13,0.00451391,38.748,No,N/A,N/A,3,N/A,N/A,N/A,7,N/A,9,3 7,11,3 9,13,3 11,3 12,7 9,N/A,7 11
2 4 6 10 11 12 13,0.0039635,41.356,No,N/A,2,N/A,4,N/A,2 4,N/A,2 6,N/A,4 6,11,2 4 6,2 11,4 10,4 11,2 4 10,2 4 11,2 6 10
1 2 3 4 6 8 12,0.0296503,19.4448,No,N/A,2,1 2,1 3,2 3,1 2 3,1 2 4,1 3 4,2 3 4,1 2 3 4,2 3 6,1 2 3 6,1 2 4 6,1 3 4 6,2 3 4 6,1 2 3 4 6,2 3 4 8,1 2 3 4 8
2 3 5 6 7 9 10 12,0.00903683,31.1485,No,N/A,2,3,N/A,2 3,6,2 5,3 5,3 6,2 3 5,2 3 6,2 3 7,2 5 6,3 5 6,3 5 7,2 3 5 6,2 3 5 7,2 3 6 7
2 5 7 8 11 13,0.00999924,28.9506,No,N/A,2,N/A,N/A,5,N/A,2 5,8,2 7,2 8,11,5 7,5 8,2 5 7,2 5 8,5 11,2 7 8,2 5 11
1 2 3 5 6 7 8 9 10 12 13,0.00291179,43.4438,No,N/A,2,1 2,1 3,2 3,1 2 3,2 5,1 2 5,1 3 5,2 3 5,1 2 3 5,1 2 3 6,2 5 6,1 2 5 6,1 3 5 6,2 3 5 6,1 2 3 5 6,1 2 3 5 7
5 6 8 9 12,0.0144792,26.8301,No,N/A,N/A,N/A,N/A,5,6,N/A,8,9,N/A,5 6,12,5 8,6 8,6 9,N/A,8 9,6 12
1 2 3 4 5 6 8 13,0.0162128,23.0019,No,N/A,2,1 2,1 3,2 3,1 2 3,1 2 4,1 3 4,2 3 4,1 2 3 4,1 2 3 5,1 2 4 5,1 3 4 5,2 3 4 5,1 2 3 4 5,1 2 3 4 6,1 2 3 5 6,1 2 4 5 6
1 2 3 6 9 13,0.028543,18.6789,No,N/A,2,1 2,1 3,2 3,1 2 3,1 6,2 6,1 2 6,1 3 6,2 3 6,1 2 3 6,1 3 9,2 3 9,1 2 3 9,1 6 9,2 6 9,1 2 6 9
2 3 8 10 11 12,0.010776,31.6402,No,N/A,2,3,N/A,2 3,N/A,N/A,8,N/A,2 8,3 8,2 10,2 3 8,3 11,2 3 10,2 3 11,2 3 12,8 10
