Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1 8 9 10 12,0.0154716,27.7246,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,1 10,12,1 12,N/A,N/A,N/A,8 9,8 10
8 9 10 12,0.00548488,32.1903,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,N/A,12,N/A,N/A,N/A,N/A,8 9,8 10
1 8 9 10 12 13,0.00794974,36.5376,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,1 10,12,13,1 13,N/A,N/A,8 9,8 10
8 9 10 13,0.0046073,33.4656,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,N/A,N/A,13,N/A,N/A,N/A,8 9,8 10
1 8 9 10 11,0.0144575,28.717,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,11,1 11,N/A,N/A,N/A,N/A,8 9,8 10
8 9 10 11,0.00592368,31.1631,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,11,N/A,N/A,N/A,N/A,N/A,8 9,8 10
1 8 9 10 11 13,0.00867994,35.3591,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,11,1 11,13,1 13,N/A,N/A,8 9,8 10
1 8 9 10 11 12,0.00924367,36.0633,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,11,12,1 12,N/A,N/A,N/A,8 9,8 10
8 9 10 11 12,0.00323084,39.7271,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,11,12,N/A,N/A,N/A,N/A,8 9,8 10
1 8 9 10 11 12 13,0.00576264,43.9069,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,11,12,13,1 13,N/A,N/A,8 9,8 10
9 11 13,0.00843943,28.398,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,11,N/A,13,N/A,N/A,N/A,N/A,N/A
9 11 12 13,0.00390714,37.7728,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,11,12,13,N/A,N/A,N/A,N/A,N/A
9 10 12 13,0.00390714,36.9488,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,N/A,12,13,N/A,N/A,N/A,N/A,N/A
9 10 11 13,0.00421971,35.9183,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,11,N/A,13,N/A,N/A,N/A,N/A,N/A
