Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
7 9 11,0.0140443,22.8328,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,9,N/A,11,N/A,N/A,N/A,N/A,7 9,N/A,7 11
7 9 11 13,0.00468232,33.5573,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,9,N/A,11,N/A,13,N/A,N/A,7 9,N/A,7 11
7 9 11 12,0.00557419,32.2881,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,9,N/A,11,12,N/A,N/A,N/A,7 9,N/A,7 11
7 9 11 12 13,0.00243907,42.3417,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,9,N/A,11,12,13,N/A,N/A,7 9,N/A,7 11
7 9 10,0.0161876,21.8063,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,9,10,N/A,N/A,N/A,N/A,N/A,7 9,7 10,N/A
7 9 10 13,0.00530746,32.5141,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,9,10,N/A,N/A,13,N/A,N/A,7 9,7 10,N/A
7 9 10 12,0.00631841,31.2431,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,9,10,N/A,12,N/A,N/A,N/A,7 9,7 10,N/A
7 9 10 12 13,0.00272849,41.2726,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,9,10,N/A,12,13,N/A,N/A,7 9,7 10,N/A
7 9 10 11,0.00722576,30.0979,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,9,10,11,N/A,N/A,N/A,N/A,7 9,7 10,7 11
7 9 10 11 13,0.00310305,40.0721,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,9,10,11,N/A,13,N/A,N/A,7 9,7 10,7 11
7 9 10 11 12,0.00369411,38.6903,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,9,10,11,12,N/A,N/A,N/A,7 9,7 10,7 11
7 9 10 11 12 13,0.00196533,47.6617,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,9,10,11,12,13,N/A,N/A,7 9,7 10,7 11
7 8,0.0597994,12.9404,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,N/A,N/A,N/A,N/A,N/A,N/A,7 8,N/A,N/A,N/A
7 8 13,0.0129405,24.1802,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,N/A,N/A,N/A,N/A,13,N/A,7 8,N/A,N/A,N/A
7 8 12,0.0154053,22.9869,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,N/A,N/A,N/A,12,N/A,N/A,7 8,N/A,N/A,N/A
