Position,Win Probability,Average Score,1,2,3,4,5,6,7,8,9,10,11,12
7 11 12,0.00154321,27.3611,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,11,12
7 10,0.0277778,14.6667,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,10,N/A,N/A
1 7 10 11,0.00848765,23.6389,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,10,11,1 11
7 10 12,0.00231481,26.0833,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,10,N/A,12
1 7 10 11 12,0.000814472,35.1111,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,10,11,12
1 7 9,0.0648148,11.9167,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,9,1 9,N/A,N/A
1 7 9 12,0.00540123,23.1111,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,9,1 9,N/A,12
7 9,0.037037,13.4444,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,9,N/A,N/A,N/A
1 7 9 11,0.0138889,20.8889,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,9,1 9,11,1 11
7 9 12,0.00308642,24.8611,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,9,N/A,N/A,12
1 7 9 11 12,0.00137174,32.5,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,9,1 9,11,12
7 10 11,0.00462963,24.6389,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,10,11,N/A
7 10 11 12,0.000514403,36.0278,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,10,11,12
1 7 9 10,0.0189043,20.1389,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,9,10,1 10,N/A
1 7 9 10 12,0.00210048,31.2778,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,9,10,1 10,12
7 9 11,0.00617284,23.3889,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,9,N/A,11,N/A
7 9 11 12,0.000685871,34.7222,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,9,N/A,11,12
7 9 10,0.00925926,21.9167,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,9,10,N/A,N/A
1 7 9 10 11,0.0045439,30,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,9,10,11,1 11
7 9 10 12,0.00102881,33.3611,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,9,10,N/A,12
1 7 9 10 11 12,0.000559652,41.7222,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,9,10,11,12
8 9 10 11,0.00171468,33.0278,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,11,N/A
8 9 10 11 12,0.00023815,44.2778,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,11,12
1 7 8,0.0640432,11.5833,N/A,N/A,N/A,N/A,N/A,N/A,7,8,1 8,N/A,N/A,N/A
1 7 8 12,0.00533693,23.1111,N/A,N/A,N/A,N/A,N/A,N/A,7,8,1 8,N/A,N/A,12
7 8,0.0462963,12.1111,N/A,N/A,N/A,N/A,N/A,N/A,7,8,N/A,N/A,N/A,N/A
1 7 8 11,0.0145319,20.8611,N/A,N/A,N/A,N/A,N/A,N/A,7,8,1 8,N/A,11,1 11
7 8 12,0.00385802,23.6944,N/A,N/A,N/A,N/A,N/A,N/A,7,8,N/A,N/A,N/A,12
1 7 8 11 12,0.00140032,32.6111,N/A,N/A,N/A,N/A,N/A,N/A,7,8,1 8,N/A,11,12
