Position,Win Probability,Average Score,1,2,3,4,5,6,7,8,9,10,11,12
| 1 |   |   | 4 |   |   |   | 8 |   |   |,0.0578704,9.1983,N/A,N/A,N/A,4,1 4,N/A,N/A,8,1 8,N/A,N/A,4 8
|   |   |   | 4 |   |   |   | 8 |   |   |,0.0509259,10.0833,N/A,N/A,N/A,4,N/A,N/A,N/A,8,N/A,N/A,N/A,4 8
| 1 |   |   | 4 |   |   |   | 8 |   | 10 |,0.0210262,16.6711,N/A,N/A,N/A,4,1 4,N/A,N/A,8,1 8,10,1 10,4 8
| 1 |   |   | 4 |   |   |   | 8 | 9 |   |,0.026106,16.209,N/A,N/A,N/A,4,1 4,N/A,N/A,8,9,1 9,N/A,4 8
|   |   |   | 4 |   |   |   | 8 | 9 |   |,0.0138889,17.5818,N/A,N/A,N/A,4,N/A,N/A,N/A,8,9,N/A,N/A,4 8
| 1 |   |   | 4 |   |   |   | 8 | 9 | 10 |,0.00943073,24.3447,N/A,N/A,N/A,4,1 4,N/A,N/A,8,9,10,1 10,4 8
|   |   |   | 4 |   |   |   |   | 9 | 10 |,0.00462963,20.4043,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,9,10,N/A,N/A
| 1 |   |   | 4 |   |   | 7 |   |   |   |,0.101852,7.36111,N/A,N/A,N/A,4,1 4,N/A,7,1 7,N/A,N/A,4 7,1 4 7
|   |   |   | 4 |   |   | 7 |   |   |   |,0.0833333,8.73611,N/A,N/A,N/A,4,N/A,N/A,7,N/A,N/A,N/A,4 7,N/A
| 1 |   |   | 4 |   |   | 7 |   |   | 10 |,0.029321,15.2944,N/A,N/A,N/A,4,1 4,N/A,7,1 7,N/A,10,1 10,1 4 7
| 1 |   |   | 4 |   |   | 7 |   | 9 |   |,0.0460391,12.8166,N/A,N/A,N/A,4,1 4,N/A,7,1 7,9,1 9,4 7,1 4 7
|   |   |   | 4 |   |   | 7 |   | 9 |   |,0.0216049,16.1343,N/A,N/A,N/A,4,N/A,N/A,7,N/A,9,N/A,4 7,N/A
| 1 |   |   | 4 |   |   | 7 |   | 9 | 10 |,0.0140175,21.2974,N/A,N/A,N/A,4,1 4,N/A,7,1 7,9,10,1 10,1 4 7
|   |   |   | 4 |   |   | 7 |   |   | 10 |,0.0162037,17.4236,N/A,N/A,N/A,4,N/A,N/A,7,N/A,N/A,10,4 7,N/A
| 1 |   |   | 4 |   |   | 7 | 8 |   |   |,0.0556199,12.5449,N/A,N/A,N/A,4,1 4,N/A,7,8,1 8,N/A,4 7,4 8
|   |   |   | 4 |   |   | 7 | 8 |   |   |,0.0362654,14.4977,N/A,N/A,N/A,4,N/A,N/A,7,8,N/A,N/A,4 7,4 8
| 1 |   |   | 4 |   |   | 7 | 8 |   | 10 |,0.0205761,19.674,N/A,N/A,N/A,4,1 4,N/A,7,8,1 8,10,1 10,4 8
| 1 |   |   | 4 |   |   | 7 | 8 | 9 |   |,0.0279492,18.4345,N/A,N/A,N/A,4,1 4,N/A,7,8,9,1 9,4 7,4 8
