Position,Win Probability,Average Score,1,2,3,4,5,6,7,8,9,10,11,12
| 1 |   | 3 |   |   |   | 7 |   | 9 |,0.0501543,11.9722,N/A,N/A,3,1 3,N/A,N/A,7,1 7,9,1 9,1 3 7,3 9
|   |   | 3 |   |   |   |   | 8 | 9 |,0.0252058,15.8889,N/A,N/A,3,N/A,N/A,N/A,N/A,8,9,N/A,3 8,3 9
| 1 |   | 3 |   |   |   | 7 | 8 |   |,0.0724023,10.5833,N/A,N/A,3,1 3,N/A,N/A,7,8,1 8,3 7,3 8,1 3 8
|   |   | 3 |   |   |   | 7 |   | 9 |,0.0339506,14.5278,N/A,N/A,3,N/A,N/A,N/A,7,N/A,9,3 7,N/A,3 9
|   |   | 3 |   |   |   | 7 | 8 |   |,0.0493827,12.75,N/A,N/A,3,N/A,N/A,N/A,7,8,N/A,3 7,3 8,N/A
| 1 |   | 3 |   |   |   | 7 | 8 | 9 |,0.0328218,17.25,N/A,N/A,3,1 3,N/A,N/A,7,8,9,1 9,3 8,3 9
| 1 |   | 3 |   |   | 6 |   |   |   |,0.146091,5,N/A,N/A,3,1 3,N/A,6,1 6,N/A,3 6,1 3 6,N/A,N/A
|   |   | 3 |   |   | 6 |   |   |   |,0.126543,6.80556,N/A,N/A,3,N/A,N/A,6,N/A,N/A,3 6,N/A,N/A,N/A
| 1 |   | 3 |   |   | 6 |   |   | 9 |,0.0497257,11.9167,N/A,N/A,3,1 3,N/A,6,1 6,N/A,9,1 9,N/A,3 9
| 1 |   | 3 |   |   | 6 |   | 8 |   |,0.0913066,8.30556,N/A,N/A,3,1 3,N/A,6,1 6,8,3 6,1 3 6,3 8,1 3 8
|   |   | 3 |   |   | 6 |   |   | 9 |,0.0252058,14.8611,N/A,N/A,3,N/A,N/A,6,N/A,N/A,9,N/A,N/A,3 9
|   |   | 3 |   |   | 6 |   | 8 |   |,0.0527263,12,N/A,N/A,3,N/A,N/A,6,N/A,8,3 6,N/A,3 8,N/A
| 1 |   | 3 |   |   | 6 |   | 8 | 9 |,0.0390875,14.8611,N/A,N/A,3,1 3,N/A,6,1 6,8,9,1 9,3 8,3 9
|   |   | 3 |   |   |   | 7 | 8 | 9 |,0.0211763,18.8056,N/A,N/A,3,N/A,N/A,N/A,7,8,9,3 7,3 8,3 9
| 1 |   | 3 |   |   | 6 | 7 |   |   |,0.108025,7.66667,N/A,N/A,3,1 3,N/A,6,7,1 7,3 6,3 7,1 3 7,N/A
|   |   | 3 |   |   | 6 | 7 |   |   |,0.0679012,10.6111,N/A,N/A,3,N/A,N/A,6,7,N/A,3 6,3 7,N/A,N/A
| 1 |   | 3 |   |   | 6 | 7 |   | 9 |,0.0434885,13.6944,N/A,N/A,3,1 3,N/A,6,7,1 7,9,1 9,1 3 7,3 9
|   |   | 3 |   |   | 6 |   | 8 | 9 |,0.0163609,19.6111,N/A,N/A,3,N/A,N/A,6,N/A,8,9,N/A,3 8,3 9
| 1 |   | 3 |   |   | 6 | 7 | 8 |   |,0.0639218,11.9722,N/A,N/A,3,1 3,N/A,6,7,8,1 8,3 7,3 8,1 3 8
|   |   | 3 |   |   | 6 | 7 |   | 9 |,0.0211763,18.0278,N/A,N/A,3,N/A,N/A,6,7,N/A,9,3 7,N/A,3 9
