Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12
1 3 4 7 8,0.0637503,11.3056,Yes,N/A,N/A,3,4,1 4,N/A,7,8,1 8,3 7,3 8,4 8
3 4 7 9,0.0234053,16.3889,Yes,N/A,N/A,3,4,N/A,N/A,7,N/A,9,3 7,4 7,3 9
3 4 7 8,0.0355367,14.7778,Yes,N/A,N/A,3,4,N/A,N/A,7,8,N/A,3 7,3 8,4 8
1 3 4 7 8 9,0.035088,16.8889,Yes,N/A,N/A,3,4,1 4,N/A,7,8,9,1 9,3 8,4 8
1 3 4 6,0.135224,4.77778,Yes,N/A,N/A,3,4,1 4,6,3 4,1 3 4,3 6,4 6,1 4 6,N/A
3 4 6,0.0779321,7.61111,Yes,N/A,N/A,3,4,N/A,6,3 4,N/A,3 6,4 6,N/A,N/A
1 3 4 6 9,0.0634216,10.25,Yes,N/A,N/A,3,4,1 4,6,3 4,1 3 4,9,1 9,1 4 6,3 9
1 3 4 6 8,0.0901492,7.97222,Yes,N/A,N/A,3,4,1 4,6,3 4,8,1 8,4 6,3 8,4 8
3 4 6 9,0.0298783,14.8056,Yes,N/A,N/A,3,4,N/A,6,3 4,N/A,9,4 6,N/A,3 9
3 4 6 8,0.0535837,11.0556,Yes,N/A,N/A,3,4,N/A,6,3 4,8,3 6,4 6,3 8,4 8
1 3 4 6 8 9,0.0452381,13.4167,Yes,N/A,N/A,3,4,1 4,6,1 6,8,9,1 9,3 8,3 9
3 4 7 8 9,0.0170086,20.3056,Yes,N/A,N/A,3,4,N/A,N/A,7,8,9,3 7,3 8,3 9
